Category: All categories

Region,Milkshake: (2/1/24 - 2/1/25),Hamburger: (2/1/24 - 2/1/25),Breakup: (2/1/24 - 2/1/25)
North Carolina,25%,64%,11%
South Carolina,24%,65%,11%
Alabama,24%,64%,12%
Tennessee,21%,66%,13%
Kentucky,23%,65%,12%
Utah,21%,65%,14%
Georgia,23%,62%,15%
West Virginia,23%,64%,13%
Virginia,23%,63%,14%
Pennsylvania,23%,62%,15%
Indiana,22%,64%,14%
Oklahoma,18%,70%,12%
Ohio,22%,64%,14%
Illinois,22%,63%,15%
Maryland,24%,61%,15%
Rhode Island,23%,64%,13%
Arkansas,21%,67%,12%
Florida,22%,64%,14%
Missouri,19%,66%,15%
New Jersey,23%,60%,17%
Arizona,21%,66%,13%
Mississippi,19%,70%,11%
Delaware,22%,65%,13%
Kansas,19%,66%,15%
Connecticut,21%,65%,14%
Michigan,20%,66%,14%
Nebraska,19%,69%,12%
Texas,20%,68%,12%
Minnesota,19%,68%,13%
Wisconsin,20%,65%,15%
North Dakota,18%,70%,12%
Nevada,18%,68%,14%
Louisiana,20%,67%,13%
Colorado,19%,67%,14%
Idaho,18%,68%,14%
California,19%,66%,15%
Iowa,19%,68%,13%
New York,20%,64%,16%
New Mexico,19%,67%,14%
Massachusetts,20%,63%,17%
Washington,17%,69%,14%
Oregon,16%,69%,15%
New Hampshire,20%,66%,14%
South Dakota,14%,76%,10%
Wyoming,16%,71%,13%
Vermont,17%,69%,14%
Montana,14%,75%,11%
Maine,16%,72%,12%
Alaska,15%,71%,14%
Hawaii,14%,72%,14%
District of Columbia,16%,68%,16%
